,potential_et,precipitation,reference_et,uncor_potential_et
1951-04-21,0.97239286,8.266666,16271.601,20.983332
1951-04-22,1.2872967,7.1666665,17512.734,27.63333
1951-04-23,1.0465809,2.4499998,15243.935,22.550001
1951-04-24,1.3883185,0.0,26755.9,29.766665
1951-04-25,1.0481594,0.083333336,18886.064,22.583336
1951-04-26,1.0528947,0.0,25455.787,22.683334
1951-04-27,0.8184926,0.05,22796.268,17.733334
1951-04-28,0.64801824,0.116666675,19304.1,14.133332
1951-04-29,0.72378457,0.033333335,21954.602,15.733333
1951-04-30,0.77666324,0.0,42159.15,16.85
1951-05-01,0.81060016,3.8999996,26865.568,17.566666
1951-05-02,0.57146275,0.16666667,17440.75,12.516667
1951-05-03,0.85321873,0.0,36074.918,18.466665
1951-05-04,0.93135285,0.0,42016.387,20.116667
1951-05-05,0.8153356,0.0,43390.203,17.666666
1951-05-06,0.5020102,0.0,14713.45,11.05
1951-05-07,0.7853448,0.0,29823.814,17.033333
1951-05-08,0.84927255,0.0,40710.266,18.383331
1951-05-09,0.87768495,0.0,35736.715,18.983332
1951-05-10,0.74509394,0.0,39171.484,16.183334
1951-05-11,0.60934585,0.0,43883.12,13.316667
1951-05-12,0.4799118,0.0,45606.082,10.583335
1951-05-13,0.51148105,0.0,21655.5,11.250001
1951-05-14,0.47991168,0.93333346,28009.814,10.583333
1951-05-15,0.61487055,2.783333,23293.916,13.433334
1951-05-16,0.8042863,1.3333335,27651.617,17.433332
1951-05-17,0.87768495,0.4333333,26205.533,18.983332
1951-05-18,0.33390364,3.6333334,25565.898,7.5
1951-05-19,0.7624571,1.0166668,29601.734,16.550001
