#,m3/s,m3/s,l/s,l/s,
date,Graview Ck at LHS m3/s,Lagoon Ck at MGH m3/s,Grandview Ck at LHS l/s,Lagoon Ck at MGH l/s,Luggate (Nat) l/s
20/07/2018 0:00,0.144771487,0.064172316,144.771487,64.172316,1524
21/07/2018 0:00,0.214097727,0.072247517,214.097727,72.247517,1528
22/07/2018 0:00,0.280968732,0.082106834,280.968732,82.106834,1469
23/07/2018 0:00,0.238241024,0.079083546,238.241024,79.083546,1433
24/07/2018 0:00,0.217265308,0.076779671,217.265308,76.779671,1419
25/07/2018 0:00,0.210401544,0.077326496,210.401544,77.326496,1407
26/07/2018 0:00,0.200936116,0.078153588,200.936116,78.153588,1421
27/07/2018 0:00,0.192981479,0.077974154,192.981479,77.974154,1456
28/07/2018 0:00,0.186037055,0.077459815,186.037055,77.459815,1564
29/07/2018 0:00,0.178550012,0.075753784,178.550012,75.753784,1669
30/07/2018 0:00,0.160966205,0.070121656,160.966205,70.121656,1673
31/07/2018 0:00,0.165316885,0.069581386,165.316885,69.581386,1805
1/08/2018 0:00,0.163013014,0.068434364,163.013014,68.434364,1987
2/08/2018 0:00,0.158357421,0.065152592,158.357421,65.152592,2124
3/08/2018 0:00,0.158169927,0.064300477,158.169927,64.300477,2606
4/08/2018 0:00,0.156082163,0.059625102,156.082163,59.625102,4285
5/08/2018 0:00,0.152520675,0.058456785,152.520675,58.456785,2981
6/08/2018 0:00,0.148019995,0.058893745,148.019995,58.893745,2666
7/08/2018 0:00,0.146126341,0.059819534,146.126341,59.819534,2471
8/08/2018 0:00,0.151731446,0.062417406,151.731446,62.417406,2314
9/08/2018 0:00,0.144780388,0.058183389,144.780388,58.183389,2243
10/08/2018 0:00,0.136504611,0.054760892,136.504611,54.760892,2284
11/08/2018 0:00,0.123480643,0.053132519,123.480643,53.132519,2505
12/08/2018 0:00,0.121649235,0.053931878,121.649235,53.931878,2352
13/08/2018 0:00,0.121584235,0.054691858,121.584235,54.691858,2192
14/08/2018 0:00,0.124281653,0.057207971,124.281653,57.207971,2044
15/08/2018 0:00,0.119409494,0.054933963,119.409494,54.933963,1974
16/08/2018 0:00,0.122757181,0.058325374,122.757181,58.325374,2002
17/08/2018 0:00,0.13340883,0.062758051,133.40883,62.758051,3857
18/08/2018 0:00,0.1341887,0.06363202,134.1887,63.63202,3111
19/08/2018 0:00,0.13237478,0.063110831,132.37478,63.110831,2957
20/08/2018 0:00,0.13703989,0.064635035,137.03989,64.635035,2841
21/08/2018 0:00,0.130522422,0.064667642,130.522422,64.667642,2827
22/08/2018 0:00,0.125443674,0.06461025,125.443674,64.61025,2845
23/08/2018 0:00,0.121473895,0.061902843,121.473895,61.902843,2790
24/08/2018 0:00,0.119727727,0.05722736,119.727727,57.22736,2813
25/08/2018 0:00,0.114983962,0.055768476,114.983962,55.768476,2739
26/08/2018 0:00,0.111357057,0.054886918,111.357057,54.886918,2741
27/08/2018 0:00,0.107658741,0.054323603,107.658741,54.323603,2988
28/08/2018 0:00,0.105835311,0.054891206,105.835311,54.891206,3296
29/08/2018 0:00,0.105534293,0.051704235,105.534293,51.704235,3162
30/08/2018 0:00,0.10324163,0.049684928,103.24163,49.684928,2831
